content
Sudah saatnya Bibit memiliki mode gelap (dark mode), belum mendukung sistem navigasi android 12 sehingga ketika saat melakukan pembelian masih mudah untuk keluar aplikasi. padahal hanya sekedar melakukan gestur kembali untuk membatalkan pada opsi pembelian. Tampilan portofolio butuh dipercantik agar bisa senada dengan Android 12. Mohon dioptimalkan kembali pada android dengan prosesor exynos 9820/9825 series
Setelah update, dan fitur baru di tambahkan, jadi lebih cepat transaksi penjualan dan pembelian aset. Bisa jual sebagian, atau full tinggal geser bar saja.. setelah seting fitur TP/SL sudah tidak perlu ditunggu lagi setiap saat, tinggal aja sistem otomatis bekerja sesuai yg telah kita seting. Terima kasih bibit untuk kemudahannya
Sangat mudah dipahami oleh pemula. Dan ada banyak pilihan resiko, saya ambil resiko terendah. Walau untung dikit, tapi pasti.
Selalu puas dengan apps bibit,banyak pilihan reksa dananya,sangat coco di gunakan buat investor pmula yang mau belajar investasi,menabung jadi semangat dengan aplikasi bibit,aplikasinya lancar dan juga bisa di gunakan dengan mudah dan juga lancar,aplikasi terbukti aman karna sudah terawasi oleh ojk
(Terimakasih____ atas peningkatan performa aplikasiya) Mohon diperbaiki fitur performa portofolionya, terutama bagian return dan 1D nya. Seringkali saya alami ketidaksinkronan dengan halaman Home, grafik 1D-nya pun seringkali terbalik. Terimakasih. *disampaikan di sini dikarenakan jawaban tim support pun tidak solutif. #moga tim terkait bisa segera mengatasinya agar kembali normal.
Menguntungkan_____(ğ_`)____) dan sangat mudah berbagai macam koin dan investasi tersedia. Selain menambah wawasan dari berita dan panduan dan komunitas tersedia.. Mau dapat uang tambahan masuk kan ajaaa [ bitjago ]okoknya bibit nomer satu aplikasi investasi
Sy kasih bintang 5 walau belum bisa berinvestasi di bibit ini tp pelayanannya sudah sangat bagus... Sy dikasih banyak informasi tentang bibit ini sehingga ketika sy sudah punya KTP sy sudah paham bagaimana cara berinvestasi di bibit reksadana ini. Mantap lah
"Giliran topup nominal besar sehari langsung masuk Reksadananya, tapi giliran dana kecil butuh berhari-hari buat masuk. Kirain cairin dananya juga cepet seperti topup ternyata malah lama juga, hadeh ;("
Bibit.... Wajib coba dan downloadnya. Karena bagus sudah terdaptar di OJK,dan kamu sudah bisa investasi dengan modal kecil yang murah dengan masa depan cerah,saya sempat takut eh ternyata kang Dedy si pesulap muncul di tv suruh download,dan saya coba setelah itu saya suka, cuma bingung kalo mau investasi banyak pilihan dan pelayanan baik banget, yuk dah pokonya download dan coba soalnya bagus buat masa depan kita semua.
Aplikasi yang bagus, hanya saja penggunaannya sedikit rumit bagi saya yang awam. untung aja admin supportnya baik banget. dan membantu banget untuk semua kendala yang saya alami. nice banget
Sangat bagus,join kode reff (D)(A)(N)(A)(2)(2) ini beneran bagus dan terbukti bisa dapt cashback setelah isi referral,dan juga lumaya kan bisa buat modal investasi,karena menurut ku menabung itu penting apalagi degan adanya aplikasi bibit kita bisa menabung dengan aman dan yang pasty bisa dapat untung yang lumayan memuaskan
"Good app, fiturnya mudah, sederhana di pahami, buat pemula yang mau belajar inves dan nabung, capcus aja download segera jgn lupa pake kode referalnya""yuknabungbareng"" biar sama2 dpt cashback...."
Aplikasinya payah banget, untung kagak, rugi iya, mau pencairan aja lama banget, nyesel pakenya, Ditransaksi sukses tapi ga masuk2 ke rekening, Cupu______
Saya gak bisa buka aplikasi ini kenapa ya ? Ada apa? Apa lagi gangguan di aplikasinya. Padahal sebelumnya lancar_ aja, uang investasi saya ada disitu ya.. Tapi gak bisa di buka terus
Memang bener bibit bisa buat kita cuan beneran Loch, daftar dan isi referal ( B I T J A G O ) yang nanti bisa dapat saham gratis secara cuma cuma , aplikasi yang sangat membantu kita untuk dapatkan seimbang dengan jumlah deposit kita... dan di sarankan gunakan aplikasi ini untuk tabungan masa depan yang di perkirakan harga saham setiap tahunnya terus meningkat per tahunnya...
Nice app! Walaupun masih pemula tapi bener2 diarahin bgt, selain itu selalu dapet notif di email buat materi2 seputar keuangan yg pastinya bermanfaat bgtt, makasih banyak bibit__
"Masukan dari saya sebagai user bibit mungkin, untuk transfer dana dari bibir ke rekening utama user lebih baik diberi tanggal pasti mau itu satu Minggu setelah penjualan Reksadana atau bahkan lebih tergantung sistemnya, tapi saat ada kepastian itu lebih enak karena sekarang hanya ada pemberitahuan ""Dana akan kami transfer secepatnya maksimal satu Minggu...."" Kurang lebih pemberitahuannya seperti itu. Tambahan mungkin mode gelap harus siap diluncurkan segera terkait kenyamanan user yang berbeda"
Selama pemakaian disini saya selalu puas, trading lancar, dari segi grafiknya bagus, TP dan SL nya kena terus, jadi ga sia sia kan kalo kita setting sedikian rupa bisa kita tinggal atau close aplikasinya, ga melulu harus dipantau di tungguin setiap saat juga. Top banget deh.
Sebuah aplikasi investasi yang bagus buat pemula dan juga bisa digunakan untuk menabung walaupun nominalnya kecil... Penjelasannya sangat mudah dipahami dan detail terus cs-nya fast respon ______
Ini lebih cocok di sebut aplikasi nabung, buka investasi. Saya iseng bikin goal 50jt dalam 2 tahun. Dan di sarankan oleh aplikasi untuk nabung 2jt setiap bulan.. slebeeww.. _____ mending saya nabung di bawah kasur kalau toh hasilnya tidak jauh berbeda _____ #autouninstal
Aplikasi ini bagus banget buat pemula yang belajar menabung dan berinvestasi. CS nya juga fast respon. Penjelasan nya lumayan mudah di pahami. Pembayaran dan pelayanan nya mudah dan cepat.
"Parahh sii proses jual beli nya gak balance.... Kalo beli prosesnya ga nyampe 20 detik... Kalo jual prosesnya ampe berhari-hari Make sense sii kalo jual/beli barang(fisik) kan nunggu diantar dulu dri tempat penjual ke tempat penerima(sesuai jarak)... Lahh ini ngasih option pulak alasan utk jual itu ""dana darurat"" Yang mana artinya itu orang lgi kepepet bgt!!! Paham sii emang harus lewat persetujuan/confirm dulu. Tapi ini terlalu kelamaan kayaknya. Maaf jika asumsi saya ada yang kurang benar__"
Lumayan mudah untuk para pemula, selain mudah di mengerti juga recomendedlah buat saya, bibit aplikasi yang sangat terpercaya dan aman di gunakan karena sudah di terdaftar di OJK ( Otoritas jasa keuangan ) jadi sudah terbukti amankan, aplikasi yang memudahkan konsumen untuk menyimpan dalam jangka lama, ya seperti itulah contohnya.
Aplikasi ya enteng bgt gak makan kuota dan ruang banyak,aplikasinya keren,tampilannya oke dan fiturnya sangat lengkap,,,pakai bibit sangat menguntungkan dan sangat lancar saat bertransaksi dan investasi pakai bibit.saya sangat bangga pakai aplikasi bibit sebagai salah satu aplikasi investasi yg sangat menarik dan sangat bagus utk mendapatkan keuntungan yg sangat baik dan mudah utk mendapatkan profitnya.
user friendly, pilihan reksadananya banyak, bisa pantau hasil investasi dg cepat, bisa bikin goal finansial, promo lumayan. So far ga da masalah dg aplikasi ini.
sangat membantu untuk pemula,mudah dipelajari karena kita investasi dengan mengunakan jasa ya bukan manual klo manual y kayak stokbit,ajaib
aplikasi nya bagus kok.. cuman utuk waktu kerja nya sangat lama. mebutuhkan peroses perhari.. spai 3 hri lebih...semoga kedepan nya bisa lebih membaik. utuk jual beli nya gk membutuhkan peroses yng lama____
Minimal cari aplikasi investasi yg sudah punya lisensi dan reputasi sebelum menaruh aset kalian, baik itu dari internet artikel, atau pengalaman user lainnya... Sistem kerja skematis, dapat atur TP/SL, update berita, dan harga yg realtime dapat memaksamalkan penggandaan modal kita.
Knp skrg sering kali susah untuk login? Susah masuk loading terus.. tetep ajaasih susah login susah clear cache.. aplikasi jelek
Hampir 2 tahun pakai bibit ,ngk ada kendala sama sekali ,cs nya pun cepat respon ketika ada yang mau kita tanyakan, Rekomendasi banget investasi di Aplikasi Bibit ,semoga ada tambahan pitur nabung emas juga ya
Untuk aplikasinya bagus __ tapi sangat disayangkan proses pencarian lama sekali berhari hari, harga sell masih bisa berubah lagi_____ tak secepat dalam deposit__
Aplikasi yang welcome kepada pengguna baru yang baru akan memulai menabung, terdapat beragam instrumen yang dapat disesuaikan dengan tujuan dan risikonya masing-masing, selain itu tampilan dan fitur dalam aplikasi user friendly, dan pilihan top up serta deposit yang beragam dengan berbagai macam pilihan bank maupun e-wallet.
Mau nyoba invest, malah Gak bisa log in Terus knapa ya? __ padahal coba saya apus data Ulang, sampesaya instal ulang malah tetep Ga bisa Masuk Ke aplikasi nya __ kalo udh bisa masuk lagi nanti saya kasih 5 Stars
Udah bagus, cuma sayang investasi masih terbatas di saham dan crypto aja. Tapi dipikir lagi, jauh lebih sederhana investasi disini ga banyak pilihan jadi bisa pokus, bisa maksimalin profit harian. Benar_ menguntungkan bagi yg download dan daftar cepat diverifikasi dan mudah dipahami. Jangan dilewatkan aplikasi cuan kayak gini
Saya suka dan senang sekali dengan apk bibit ini,,tapi alangkah baiknya tambahkan dan update lagi tentang metode penarikan nya,tambahkan metode penarikan untuk ke E-wallet supaya memudahkan orang menarik uang yang tidak memiliki rekening,,mohon bisa di perbarui lagi ya kak supaya bisa penarikan ke E-wallet seperti DANA OVO Gopay
